time,X,Y,actual_cytokine_concentration,predicted_cytokine_concentration
0.0,29.0,20.0,3.7498518e-07,-0.0037248097
0.0,8.0,9.0,3.7944784e-07,0.011679921
0.0,35.0,22.0,3.75144e-07,-0.013027709
0.0,33.0,26.0,3.7067446e-07,-0.015074659
0.0,19.0,36.0,3.750384e-07,-0.009730805
0.0,20.0,33.0,3.7498145e-07,-0.007611368
0.0,37.0,42.0,3.7498137e-07,-0.0362815
0.0,10.0,28.0,3.8401603e-07,0.008040074
0.0,27.0,10.0,3.8396777e-07,0.009270359
0.0,25.0,14.0,3.7519422e-07,0.0072477423
0.0,13.0,31.0,3.7960564e-07,0.0022097789
0.0,37.0,30.0,3.7950298e-07,-0.02399413
0.0,29.0,26.0,3.795532e-07,-0.010381747
0.0,19.0,19.0,3.7971708e-07,0.008205514
0.0,35.0,31.0,3.7047047e-07,-0.022771474
0.0,9.0,23.0,3.7493191e-07,0.012748551
0.0,37.0,38.0,1.7973687e-08,-0.032256674
0.0,19.0,24.0,1.3450713e-08,0.0031731836
0.0,31.0,10.0,4.5319806e-09,0.004973363
0.0,18.0,25.0,4.6856576e-09,0.0031826906
0.0,10.0,39.0,8.990275e-09,-0.0027171038
0.0,15.0,31.0,3.2545439e-10,0.00010901317
0.0,17.0,23.0,4.7889905e-09,0.006206114
0.0,40.0,8.0,9.092882e-09,-0.0032949634
0.0,41.0,23.0,8.98526e-09,-0.021134745
0.0,7.0,17.0,4.466728e-09,0.017048951
0.0,27.0,37.0,9.146089e-09,-0.020004276
0.0,8.0,38.0,9.092928e-09,0.0008711852
0.0,16.0,22.0,3.7929485e-07,0.00809079
0.0,35.0,12.0,4.7351763e-09,-0.0018525906
0.0,41.0,18.0,1.3452487e-08,-0.015697043
0.0,39.0,7.0,4.469944e-09,-0.0009741448
0.0,25.0,41.0,2.1659322e-10,-0.021960754
0.0,14.0,38.0,1.3453964e-08,-0.006213974
0.0,29.0,39.0,4.784748e-09,-0.024377648
0.0,22.0,25.0,4.5774673e-09,-0.0011695214
0.0,27.0,27.0,9.149324e-09,-0.009141732
0.0,11.0,23.0,4.6281374e-09,0.011180077
0.0,41.0,15.0,1.7859636e-08,-0.012371976
0.0,8.0,25.0,2.1720319e-10,0.012552645
0.0,20.0,17.0,1.351136e-08,0.0091981925
0.0,27.0,17.0,1.7919637e-08,0.0018834062
0.0,2.0,47.0,0.0,0.008220907
0.0,18.0,38.0,9.199371e-09,-0.010754529
0.0,2.0,12.0,1.02061395e-16,0.09334719
0.0,17.0,2.0,7.059016e-18,0.018301655
0.0,47.0,2.0,0.0,-0.0049080215
0.0,37.0,2.0,1.2485848e-19,0.0068894587
0.0,5.0,2.0,4.4922975e-21,0.004860278
0.0,21.0,2.0,9.711259e-17,0.019657943
0.0,47.0,39.0,6.3981733e-19,-0.044226345
0.0,7.0,47.0,9.0234565e-17,-0.0073152967
0.0,2.0,22.0,9.077358e-17,0.06553155
0.0,31.0,2.0,1.02946664e-16,0.0132142715
0.0,2.0,8.0,9.5546005e-17,0.10021339
0.0,2.0,21.0,1.4223697e-17,0.06844607
0.0,47.0,30.0,9.553654e-17,-0.035187285
0.0,47.0,5.0,2.6883018e-19,-0.008322548
0.0,16.0,42.0,4.678174e-09,-0.012784634
0.0,41.0,21.0,4.5756305e-09,-0.018976238
0.0,19.0,15.0,4.8916284e-09,0.011895303
0.0,24.0,2.0,1.3078448e-17,0.018663514
0.0,43.0,2.0,6.6245678e-18,-9.312853e-05
0.0,47.0,47.0,0.0,-0.05229437
0.0,9.0,47.0,1.4240979e-18,-0.010014806
0.0,2.0,32.0,9.0418e-17,0.038826134
0.0,47.0,7.0,9.016762e-17,-0.010585811
0.0,36.0,2.0,1.4354371e-18,0.008003581
0.0,2.0,43.0,6.6203516e-18,0.015410747
0.0,2.0,29.0,3.639344e-19,0.04629184
0.0,6.0,2.0,9.813498e-20,-0.0078114457
0.0,19.0,2.0,8.945545e-17,0.01948582
0.0,47.0,20.0,9.685524e-17,-0.02483965
0.0,14.0,2.0,7.7012e-18,0.013634425
0.0,21.0,47.0,9.049654e-17,-0.023729902
0.0,4.0,2.0,1.5147127e-22,0.035281565
0.0,26.0,2.0,1.2894165e-17,0.017442483
0.0,2.0,15.0,6.6335096e-18,0.08584066
0.0,41.0,47.0,6.70605e-18,-0.04562061
0.0,2.0,28.0,6.3690885e-18,0.048890103
0.0,13.0,7.0,3.1859218e-10,0.016175974
0.0,28.0,38.0,4.68088e-09,-0.022200558
0.0,34.0,25.0,4.8365894e-09,-0.015151914
0.0,11.0,26.0,1.36115235e-08,0.008812834
0.0,17.0,14.0,9.094191e-09,0.014093865
0.0,36.0,30.0,4.73522e-09,-0.022854451
0.0,18.0,15.0,1.3454438e-08,0.012655776
0.0,19.0,8.0,9.037846e-09,0.017168019
0.0,2.0,18.0,9.5700535e-17,0.07726605
0.0,35.0,47.0,1.4296676e-18,-0.039082278
0.0,10.0,2.0,6.4454724e-18,-0.000404384
0.0,5.0,47.0,2.6891675e-19,-0.0036952235
0.0,42.0,2.0,9.569696e-17,0.0010967888
0.0,47.0,9.0,7.961553e-18,-0.012834411
0.0,12.0,2.0,1.0866141e-18,0.007803973
0.0,20.0,2.0,1.308565e-17,0.019676168
0.0,2.0,11.0,9.6082124e-17,0.09540294
0.0,47.0,3.0,2.2720688e-22,-0.0060475506
0.0,47.0,14.0,7.7855985e-18,-0.01837482
0.0,47.0,13.0,1.785387e-18,-0.017277192
0.0,47.0,19.0,1.0294676e-16,-0.023776833
0.0,36.0,47.0,6.558033e-18,-0.04016788
0.0,26.0,47.0,9.54442e-17,-0.029269863
0.0,2.0,30.0,1.3540762e-18,0.043748196
0.0,40.0,2.0,9.5709654e-17,0.003450457
0.0,23.0,47.0,3.6732255e-19,-0.025955375
0.0,45.0,2.0,8.627555e-21,-0.0024920367
0.0,6.0,47.0,6.444191e-18,-0.005690392
0.0,38.0,2.0,2.9194712e-19,0.005757805
0.0,24.0,47.0,2.8601352e-19,-0.027064014
0.0,2.0,23.0,1.28184465e-17,0.062648475
0.0,37.0,47.0,9.0500726e-17,-0.041254614
0.0,43.0,47.0,6.4400668e-18,-0.047823835
0.0,47.0,36.0,9.561335e-17,-0.04122399
0.0,47.0,15.0,9.56377e-17,-0.019466568
0.0,47.0,4.0,8.55182e-21,-0.0071856715
0.0,47.0,21.0,6.981863e-18,-0.025897045
0.0,38.0,47.0,1.3855841e-17,-0.042342294
0.0,31.0,47.0,1.3873756e-17,-0.03473715
0.0,3.0,47.0,2.2720688e-22,0.0026523285
0.0,47.0,44.0,2.7296544e-19,-0.049248833
0.0,34.0,47.0,1.4245487e-18,-0.03799672
0.0,2.0,35.0,1.4152491e-17,0.03184708
0.0,13.0,47.0,8.9089364e-17,-0.014711712
0.0,2.0,33.0,1.2905483e-17,0.036447097
0.0,4.0,47.0,8.55182e-21,-0.0010642372
0.0,47.0,25.0,8.935084e-17,-0.030073147
0.0,2.0,27.0,8.908939e-17,0.051541593
0.0,28.0,2.0,7.8025706e-18,0.01591492
0.0,2.0,13.0,1.02047525e-16,0.091036215
0.0,16.0,2.0,9.652314e-17,0.017197821
0.0,2.0,2.0,0.0,0.2026517
0.0,2.0,38.0,9.5794384e-17,0.025332306
0.0,39.0,2.0,6.6273525e-18,0.004610304
0.0,47.0,33.0,1.4369314e-18,-0.03821532
0.0,47.0,42.0,9.543119e-17,-0.047233935
0.0,47.0,12.0,7.780204e-18,-0.016174052
0.0,47.0,34.0,4.6396535e-19,-0.03922003
0.0,47.0,41.0,9.543259e-17,-0.046230394
0.0,46.0,2.0,2.2720688e-22,-0.0036983825
0.0,2.0,42.0,9.552072e-17,0.017307643
0.0,47.0,38.0,7.77587e-18,-0.04322623
0.0,47.0,22.0,6.6387473e-18,-0.026948635
0.0,2.0,46.0,2.2720688e-22,0.009961102
0.0,15.0,47.0,1.6112423e-18,-0.016983647
0.0,47.0,11.0,9.5529746e-17,-0.015065987
0.0,34.0,2.0,9.0598704e-17,0.010169338
0.0,47.0,23.0,8.936683e-17,-0.027995642
0.0,33.0,2.0,1.4148364e-17,0.011214782
0.0,25.0,2.0,9.0697e-17,0.018097539
0.0,47.0,31.0,9.55289e-17,-0.036199395
0.0,2.0,41.0,9.651487e-17,0.019246515
0.0,12.0,47.0,6.4402235e-18,-0.013567466
0.0,9.0,15.0,4.577561e-09,0.015367795
0.0,36.0,20.0,2.717803e-10,-0.011995088
0.0,38.0,7.0,1.1031866e-10,0.000210125
0.0,18.0,36.0,9.094906e-09,-0.008586738
0.0,26.0,11.0,9.150659e-09,0.009275753
0.0,38.0,14.0,4.6839275e-09,-0.007670533
0.0,26.0,13.0,9.30324e-09,0.0072330125
0.0,34.0,30.0,4.631285e-09,-0.020562913
0.0,9.0,2.0,9.0147745e-17,-0.004937496
0.0,47.0,46.0,2.2720688e-22,-0.051275324
0.0,25.0,47.0,6.6176976e-18,-0.02816895
0.0,27.0,2.0,9.0509646e-17,0.016711857
0.0,39.0,26.0,1.3402512e-08,-0.02203944
0.0,2.0,44.0,2.7311692e-19,0.013554949
0.0,11.0,47.0,1.3318828e-18,-0.012410972
0.0,19.0,47.0,8.9618356e-17,-0.021491062
0.0,2.0,16.0,5.4656957e-19,0.08305012
0.0,2.0,36.0,9.614374e-17,0.029625718
0.0,40.0,47.0,6.6469343e-18,-0.044525277
0.0,2.0,6.0,2.7438188e-19,0.1070341
0.0,7.0,2.0,1.3452499e-18,-0.010775927
0.0,17.0,47.0,9.041388e-17,-0.019242037
0.0,2.0,14.0,9.570419e-17,0.08851732
0.0,2.0,4.0,2.2720688e-22,0.14244041
0.0,2.0,9.0,9.6856404e-17,0.0986996
0.0,47.0,16.0,9.686078e-17,-0.020553041
0.0,35.0,2.0,7.617732e-18,0.009097766
0.0,30.0,16.0,8.990286e-09,-0.00045418367
0.0,8.0,17.0,1.6413224e-10,0.01582725
0.0,8.0,19.0,9.142273e-09,0.015494119
0.0,36.0,41.0,1.3501971e-08,-0.03418609
0.0,41.0,11.0,9.198563e-09,-0.007884409
0.0,17.0,11.0,8.9915435e-09,0.016108993
0.0,10.0,25.0,9.144199e-09,0.0104857795
0.0,40.0,37.0,9.152363e-09,-0.034547422
0.0,34.0,33.0,4.7353304e-09,-0.023743507
0.0,36.0,31.0,4.7377062e-09,-0.0239106
0.0,25.0,38.0,4.7883257e-09,-0.018784095
0.0,9.0,39.0,2.7240343e-10,-0.0014968552
0.0,24.0,9.0,4.685121e-09,0.013085555
0.0,20.0,20.0,1.3719774e-08,0.006245423
0.0,42.0,17.0,1.3449366e-08,-0.015775498
0.0,25.0,33.0,4.5781996e-09,-0.01339205
0.0,21.0,40.0,1.3611411e-08,-0.016347807
0.0,42.0,34.0,2.6847938e-10,-0.033717778
0.0,32.0,21.0,1.35076235e-08,-0.008370955
0.0,8.0,8.0,1.3499366e-08,0.01029234
0.0,8.0,18.0,4.6293507e-09,0.015710074
0.0,23.0,16.0,4.684593e-09,0.0072633736
0.0,19.0,26.0,4.635029e-09,0.0010732822
0.0,33.0,20.0,1.7917234e-08,-0.008439813
0.0,19.0,28.0,1.7707144e-08,-0.0010584779
0.0,24.0,22.0,4.7864406e-09,-0.00016634539
0.0,18.0,42.0,8.982772e-09,-0.015064519
0.0,24.0,42.0,5.648009e-11,-0.021880787
0.0,17.0,32.0,4.730749e-09,-0.0031327568
0.0,28.0,12.0,1.8179353e-08,0.0061426125
0.0,2.0,3.0,0.0,0.18592648
0.0,22.0,47.0,7.523918e-18,-0.024844322
0.0,47.0,10.0,9.554624e-17,-0.013953123
0.0,13.0,2.0,4.641092e-19,0.011030685
0.0,2.0,34.0,9.077487e-17,0.034120645
0.0,2.0,40.0,6.9789485e-18,0.021229457
0.0,2.0,20.0,9.711546e-17,0.07138164
0.0,15.0,2.0,9.5610776e-17,0.015666518
0.0,8.0,47.0,7.590896e-18,-0.008726504
0.0,44.0,47.0,2.6876528e-19,-0.048932698
0.0,27.0,47.0,9.544511e-17,-0.030368771
0.0,2.0,5.0,8.692472e-21,0.11798321
0.0,47.0,35.0,7.7004675e-18,-0.04022218
0.0,10.0,47.0,1.9780678e-19,-0.011232238
0.0,18.0,2.0,7.700215e-18,0.019043911
0.0,2.0,45.0,8.627555e-21,0.011739109
0.0,28.0,47.0,6.973845e-18,-0.031464715
0.0,23.0,2.0,9.6057493e-17,0.019125987
0.0,44.0,2.0,2.7319266e-19,-0.0012898557
0.0,2.0,39.0,6.9060002e-18,0.023257378
0.0,47.0,18.0,9.615356e-17,-0.022707809
0.0,2.0,25.0,6.625921e-18,0.057000834
0.0,2.0,37.0,1.02870993e-16,0.027453963
0.0,20.0,47.0,1.2804411e-17,-0.022611517
0.0,14.0,47.0,6.4626372e-18,-0.015849661
0.0,2.0,7.0,6.6345448e-18,0.10241063
0.0,18.0,47.0,1.2812825e-17,-0.020367932
0.0,29.0,2.0,7.088213e-18,0.015061874
0.0,47.0,8.0,6.8035882e-18,-0.011712182
0.0,47.0,24.0,1.2717398e-17,-0.029036585
0.0,47.0,43.0,6.616103e-18,-0.048240323
0.0,47.0,27.0,1.3426072e-18,-0.03213122
0.0,20.0,41.0,4.73448e-09,-0.016275529
0.0,30.0,2.0,9.6860845e-17,0.01415981
0.0,16.0,47.0,6.558986e-18,-0.018113937
0.0,2.0,26.0,6.61661e-18,0.054246146
0.0,47.0,37.0,9.658654e-17,-0.042224813
0.0,42.0,47.0,9.015051e-17,-0.04672013
0.0,11.0,2.0,3.7037278e-19,0.003955338
0.0,32.0,47.0,8.9455024e-17,-0.03582446
0.0,2.0,24.0,8.937088e-17,0.059803274
0.0,47.0,6.0,6.4414184e-18,-0.009455521
0.0,22.0,2.0,1.02950436e-16,0.019465294
0.0,41.0,2.0,1.0179641e-16,0.0022785105
0.0,47.0,17.0,1.4396046e-17,-0.021633107
0.0,2.0,17.0,6.6334484e-18,0.08018172
0.0,3.0,2.0,0.0,0.095750436
0.0,47.0,45.0,8.627555e-21,-0.0502603
0.0,47.0,32.0,7.767605e-18,-0.037208464
0.0,30.0,47.0,9.060584e-17,-0.033648614
0.0,39.0,47.0,8.945914e-17,-0.04343256
0.0,8.0,2.0,6.542187e-18,-0.008893829
0.0,2.0,10.0,1.4392972e-17,0.09717296
0.0,33.0,47.0,6.458434e-18,-0.036911245
0.0,2.0,31.0,6.5509135e-18,0.041260008
0.0,45.0,47.0,8.55182e-21,-0.05004624
0.0,2.0,19.0,1.0188374e-16,0.074327126
0.0,29.0,47.0,7.789274e-18,-0.032557357
0.0,47.0,26.0,6.4614457e-18,-0.03110445
0.0,32.0,2.0,9.61465e-17,0.012231324
0.0,47.0,40.0,6.6419112e-18,-0.045227807
0.0,47.0,29.0,7.685654e-18,-0.03417283
0.0,46.0,47.0,2.2720688e-22,-0.051166963
0.0,11.0,24.0,3.750364e-07,0.01042759
0.0,47.0,28.0,4.708133e-19,-0.03315347
0.0,39.0,40.0,3.7950116e-07,-0.036466148
0.0,7.0,8.0,3.7498123e-07,0.009927157
0.0,17.0,12.0,3.7503406e-07,0.0154829435
0.0,8.0,10.0,3.7514084e-07,0.012836549
0.0,29.0,13.0,3.7945304e-07,0.0039708056
0.0,9.0,37.0,3.796069e-07,0.0005758442
0.0,39.0,36.0,3.8397224e-07,-0.03243484
0.0,26.0,35.0,3.751953e-07,-0.016716342
0.0,27.0,14.0,3.7519172e-07,0.005111303
0.0,23.0,21.0,3.7514215e-07,0.0020300485
0.0,33.0,21.0,3.795519e-07,-0.009553935
0.0,36.0,39.0,3.838121e-07,-0.03216784
0.0,33.0,30.0,3.7513843e-07,-0.019411255
0.0,18.0,14.0,3.793943e-07,0.013466481
