X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,38,3.6475328086201264e-07,7.308553955573651e-08,0.0,0.0,0.0,1.738839585896794e-07
0,39,3.336861140024111e-07,0.0,0.0,0.0,5.33821141167968e-09,0.0
0,40,3.4733473656671793e-07,6.80747817636841e-08,0.0,0.0,0.0,0.0
0,41,3.1157052787196884e-07,0.0,0.0,0.0,0.0,0.0
0,42,0.0,4.454107256527914e-08,0.0,1.677190608352943e-08,0.0,0.0
0,43,0.0,7.783224733500304e-08,2.6440671191881635e-09,0.0,0.0,0.0
0,44,0.0,9.094173442735616e-08,2.7867201695028288e-08,0.0,0.0,1.3208192550093936e-07
0,45,3.271400414606183e-07,8.677287446636469e-08,0.0,0.0,0.0,0.0
0,46,3.2202947032924405e-07,6.19746782554219e-08,3.415038409512343e-08,0.0,0.0,0.0
0,47,3.5083087697768267e-07,3.6962296045734166e-08,3.2722589442856736e-08,0.0,7.913674882669349e-08,2.717017714325017e-07
0,48,3.4601355882968434e-07,6.571457591264172e-08,0.0,0.0,0.0,0.0
0,49,0.0,0.0,1.831694341330824e-08,0.0,9.417597788084193e-08,3.4909745289263905e-07
1,0,0.0,0.0,0.0,0.0,0.0,3.667307650982898e-08
1,1,0.0,6.70844617564492e-08,2.3695987867652252e-08,0.0,3.4550040633054837e-09,0.0
1,2,3.432351531046985e-07,5.2716817227615494e-08,0.0,0.0,0.0,8.615738821746041e-08
1,3,3.5004079172129153e-07,0.0,2.6813955899656183e-08,0.0,0.0,1.3283284724222978e-07
1,4,3.50839259981456e-07,0.0,0.0,0.0,0.0,2.6836063281162995e-07
1,5,0.0,5.20035877802133e-08,0.0,0.0,0.0,1.2426021024784856e-07
1,6,3.5524964156239486e-07,7.333193478750433e-08,0.0,0.0,0.0,7.462650653545257e-08
1,7,0.0,6.803477858468395e-08,0.0,0.0,0.0,0.0
1,8,3.4255429652186454e-07,6.451661675054224e-08,0.0,0.0,1.239290759092135e-08,0.0
1,9,0.0,0.0,0.0,0.0,0.0,3.4066199994503464e-07
1,10,3.5264148636039066e-07,5.350798131207051e-08,2.288204199369908e-08,0.0,0.0,2.257189306648442e-07
1,11,3.9183278187496324e-07,8.322054172973412e-08,2.923672317602635e-08,0.0,0.0,1.4067100191041516e-07
1,12,0.0,0.0,1.907432470980825e-08,0.0,6.284150962354833e-08,0.0
1,13,0.0,0.0,0.0,0.0,0.0,2.92236932821268e-07
1,14,3.5457185620243896e-07,6.575420729610734e-08,0.0,0.0,0.0,1.6137526660825315e-07
