mcsteps,1,2,3,4,5,6,7,8,9,10,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
570000,2957.0,3.0,7.0,127.0,7.0,0.0,26.0,6.0,151.0,75.0,8.103231e-09,2.4037189e-11,4.206236e-12,5.496868e-13,2.3696307e-11,6.7096904e-11,1.5327534e-09,8.9964675e-11,5.067555e-11,1.193984e-11,2.3949334e-10,2.834361e-10
580000,2957.0,1.0,5.0,127.0,8.0,0.0,21.0,7.0,148.0,75.0,8.19464e-09,2.463845e-11,4.2532674e-12,5.732203e-13,2.3404681e-11,7.211853e-11,1.556696e-09,9.542359e-11,5.0631062e-11,1.1893881e-11,2.3922164e-10,3.0550598e-10
590000,2957.0,1.0,5.0,125.0,8.0,0.0,17.0,3.0,138.0,77.0,8.2966976e-09,2.3490206e-11,4.285598e-12,5.59877e-13,2.2479177e-11,7.4007925e-11,1.5592372e-09,8.245605e-11,5.0680606e-11,1.1758587e-11,2.2827189e-10,3.0958372e-10
600000,2957.0,9.0,70.0,135.0,8.0,0.0,47.0,4.0,142.0,80.0,8.392216e-09,2.2917888e-11,3.6267755e-12,4.3572185e-13,2.1474865e-11,7.108218e-11,1.5713164e-09,7.480228e-11,1.4658306e-11,6.0301573e-12,2.2013458e-10,2.9025474e-10
610000,2957.0,9.0,54.0,133.0,7.0,0.0,51.0,6.0,138.0,82.0,8.484982e-09,2.4779144e-11,4.3217604e-12,5.6707606e-13,2.4312115e-11,7.204137e-11,1.5914001e-09,9.8466534e-11,5.091121e-11,1.161407e-11,2.4145544e-10,2.904364e-10
620000,2957.0,8.0,40.0,133.0,8.0,0.0,53.0,6.0,148.0,82.0,8.583406e-09,2.6027056e-11,5.5934975e-12,8.43266e-13,2.8291753e-11,6.9709266e-11,1.6034137e-09,1.1533976e-10,8.4741464e-11,1.8274505e-11,2.806387e-10,2.7172173e-10
630000,2957.0,6.0,34.0,133.0,8.0,0.0,45.0,4.0,155.0,82.0,8.6725995e-09,2.633235e-11,5.7619027e-12,8.679684e-13,2.7232404e-11,7.511764e-11,1.6249838e-09,1.232109e-10,8.4927655e-11,1.8239379e-11,2.9869046e-10,2.9569752e-10
640000,2957.0,6.0,29.0,129.0,8.0,0.0,39.0,6.0,149.0,86.0,8.774924e-09,2.6240345e-11,5.131314e-12,8.039502e-13,2.8014317e-11,7.687419e-11,1.6238708e-09,1.2725654e-10,7.069994e-11,1.6706584e-11,3.3112194e-10,2.9809064e-10
650000,2957.0,6.0,22.0,128.0,5.0,0.0,29.0,8.0,162.0,87.0,8.862857e-09,2.6422382e-11,3.6890664e-12,4.2430485e-13,2.799567e-11,8.1535334e-11,1.6546065e-09,1.3219398e-10,1.3819115e-11,5.259701e-12,3.6763312e-10,3.144191e-10
660000,2957.0,5.0,17.0,127.0,6.0,0.0,25.0,4.0,170.0,88.0,8.968682e-09,2.676903e-11,5.099333e-12,7.3772433e-13,3.1925407e-11,8.468403e-11,1.6562945e-09,1.3720333e-10,6.961965e-11,1.5170108e-11,4.221082e-10,3.2798433e-10
670000,2957.0,5.0,11.0,127.0,5.0,0.0,26.0,3.0,176.0,88.0,9.058998e-09,2.6854895e-11,5.7543423e-12,8.683982e-13,2.929213e-11,8.4982146e-11,1.674239e-09,1.4148485e-10,8.5010936e-11,1.8133658e-11,4.5340592e-10,3.2732655e-10
680000,2957.0,5.0,10.0,126.0,4.0,0.0,17.0,5.0,180.0,89.0,9.156327e-09,2.7440439e-11,4.4668436e-12,6.006416e-13,3.2403174e-11,8.855295e-11,1.6819238e-09,1.4869538e-10,5.026524e-11,1.1293922e-11,5.0672705e-10,3.390305e-10
