X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,40,0.0,0.0,0.0,0.0,0.0,0.0
0,41,0.0,0.0,0.0,0.0,0.0,0.0
0,42,0.0,0.0,0.0,0.0,0.0,0.0
0,43,0.0,0.0,0.0,0.0,0.0,1.4489744370746147e-07
0,44,0.0,0.0,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0,5.55128975825911e-08,2.7364395060410606e-07
0,46,0.0,0.0,0.0,0.0,0.0,1.0295095677714673e-07
0,47,0.0,0.0,0.0,0.0,0.0,2.680565516738397e-07
0,48,0.0,0.0,0.0,0.0,0.0,0.0
0,49,0.0,0.0,0.0,0.0,0.0,3.1708736783953233e-07
1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,9.404837644122511e-08
1,6,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0,3.403120744188025e-07
1,10,0.0,0.0,0.0,0.0,0.0,1.8169349623798297e-07
1,11,0.0,0.0,0.0,0.0,0.0,0.0
1,12,0.0,0.0,0.0,0.0,0.0,0.0
1,13,0.0,0.0,0.0,0.0,0.0,0.0
1,14,0.0,0.0,0.0,0.0,0.0,1.2836006935070415e-07
1,15,0.0,0.0,0.0,0.0,0.0,4.639144360752035e-08
1,16,0.0,0.0,0.0,0.0,0.0,0.0
1,17,0.0,0.0,0.0,0.0,0.0,0.0
1,18,0.0,0.0,0.0,0.0,0.0,2.550031869260257e-07
1,19,0.0,0.0,0.0,0.0,0.0,0.0
1,20,0.0,0.0,0.0,0.0,0.0,1.4075070704334478e-07
1,21,0.0,0.0,0.0,0.0,0.0,0.0
